dia_semana,festivo,hora_sin,hora_cos,semana_sin,semana_cos,linea_LÍNEA 1,linea_LÍNEA 2,linea_LÍNEA A,linea_LÍNEA B,linea_LÍNEA H,linea_LÍNEA J,linea_LÍNEA K,linea_LÍNEA L,linea_LÍNEA M,linea_LÍNEA O,linea_LÍNEA P,linea_LÍNEA T-A,lag_1,lag_1_missing,promedio_dia_anterior,misma_hora_semana_anterior
1.5407281887887097,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.2771836234050429,0,-0.08568261380106804,0.41019917303701614
1.5407281887887097,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.24603697802484684,0,-0.08568261380106804,0.35295382926842034
1.5407281887887097,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.24147150883230997,0,-0.08568261380106804,0.09529894275044222
1.5407281887887097,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.23558712631748466,0,-0.08568261380106804,0.03652841220293181
1.5407281887887097,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.20109247019609489,0,-0.08568261380106804,-0.021733722751607044
1.5407281887887097,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.18151168010365892,0,-0.08568261380106804,0.011617028147326194
1.5407281887887097,0,0,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.1960197266488317,0,-0.08568261380106804,0.04974669762019194
1.5407281887887097,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.19186007694007584,0,-0.08568261380106804,0.047103040536739915
1.5407281887887097,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.18272913855500209,0,-0.08568261380106804,0.07608158933611789
1.5407281887887097,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.169235640719282,0,-0.08568261380106804,0.10150136898469506
1.5407281887887097,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.18425096161918106,0,-0.08568261380106804,0.26256109283808
1.5407281887887097,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.1691341858483367,0,-0.08568261380106804,0.3944389096548983
1.5407281887887097,0,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.14508938143430913,0,-0.08568261380106804,0.1973847778191281
1.5407281887887097,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.09588376902585609,0,-0.08568261380106804,-0.008413758215752612
1.5407281887887097,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.14640829475659756,0,-0.08568261380106804,-0.11649866128150271
1.5407281887887097,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.1607134315598798,0,-0.08568261380106804,-0.18014978952153993
